"A. C. R. Sizeland",,,,
"Andrew Boswell","Q75974815","2019 United Kingdom general election","Broadland","Green Party of England and Wales"
"Ann Steward",,,,
"Anthony Earle",,,,
"Arnold Jones",,,,
"Brian Smith",,,,
"D. M. Mason",,,,
"Denise Burke",,,,
"Douglas M. Reid",,,,
"Edward Barber",,,,
"Emma Corlett",Q75621697,,,
"F. T. S. Rippingall",,,,
"Frank Henry Easton",,,,
"G. R. Collings",,,,
"Harry Gywnne",Q76509610,,,
"Henry Spencer Follett",,,,
"John Allen",,,,
"John Cator",,,,
"John Elworthy",,,,
"Justin Appleyard",,,,
"Karen Ward","Q76738140","2019 United Kingdom general election","North Norfolk","Liberal Democrats"
"Michael Cullingham",,,,
"Michael Filgate",,,,
"Mike Gates",,,,
"Mike Macartney-Filgate",,,,
"Mike Sheridan",,,,
"Neil Anthony",,,,
"Paul Simison",,,,
"Phil Harris",,,,
"R. S. Dimmick",,,,
"Roger Bowan Crewdson",,,,
"S. Jackson",,,,
"Simon Mann",,,,
"Stephen Burke",,,,
"Trevor Ivory",,,,
"William Scarlett Jameson",,,,
